brand,manufacturer_part_number,description,motor_type,rated_power_kw,voltage_v,frequency_hz,speed_rpm,current_a,efficiency_percent,power_factor,ip_rating,insulation_class,mounting,duty,frame_size,ambient_temperature_c,weight_kg,poles,series,source_type,source_reference
WEG,WE-75000-4P-030,"75 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,75.0,380,50,1470,127.64,96.0,0.93,IP55,F,B3,S1,132,40,164.8,4,1LE1,starter_seed,Synthetic starter record for development/testing
WEG,WE-04000-6P-031,"4 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,4.0,415,50,975,7.79,89.3,0.8,IP55,F,B35,S1,90,40,24.9,6,BVM,starter_seed,Synthetic starter record for development/testing
ABB,AB-22000-6P-032,"22 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,22.0,380,50,980,41.7,94.3,0.85,IP55,F,B5,S1,160,40,51.6,6,1LE1,starter_seed,Synthetic starter record for development/testing
ABB,AB-22000-6P-033,"22 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,22.0,415,50,975,35.61,95.5,0.9,IP55,F,B3,S1,112,40,62.3,6,M2BAX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-18500-4P-034,"18.5 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,18.5,400,50,1465,32.8,92.5,0.88,IP55,F,B5,S1,180,40,44.4,4,GX,starter_seed,Synthetic starter record for development/testing
WEG,WE-15000-2P-035,"15 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,15.0,380,50,2945,28.62,93.7,0.85,IP55,F,B5,S1,132,40,39.1,2,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-90000-4P-036,"90 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,90.0,380,50,1460,153.16,96.0,0.93,IP55,F,B3,S1,250,40,192.7,4,GX,starter_seed,Synthetic starter record for development/testing
WEG,WE-18500-4P-037,"18.5 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,18.5,415,50,1480,31.33,92.3,0.89,IP55,F,B3,S1,112,40,52.2,4,M2BAX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-90000-6P-038,"90 kW three-phase induction motor, 6-pole, 400 V, 50 Hz",Three-phase induction motor,90.0,400,50,965,142.44,96.0,0.95,IP65,F,B5,S1,160,40,201.6,6,M2BAX,starter_seed,Synthetic starter record for development/testing
WEG,WE-75000-4P-039,"75 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,75.0,400,50,1475,122.57,96.0,0.92,IP55,F,B5,S1,100,40,170.1,4,GX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-15000-4P-040,"15 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,15.0,380,50,1480,29.4,92.3,0.84,IP65,F,B35,S1,250,40,38.7,4,GX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-05500-6P-041,"5.5 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,5.5,415,50,975,10.98,88.2,0.79,IP65,F,B5,S1,225,40,15.0,6,1LE1,starter_seed,Synthetic starter record for development/testing
WEG,WE-07500-2P-042,"7.5 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,7.5,380,50,2945,14.94,88.7,0.86,IP55,F,B5,S1,250,40,24.4,2,BVM,starter_seed,Synthetic starter record for development/testing
Siemens,SI-30000-4P-043,"30 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,30.0,380,50,1475,53.71,94.3,0.9,IP56,F,B3,S1,90,40,67.8,4,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-01100-6P-044,"1.1 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,1.1,380,50,965,2.53,84.8,0.78,IP65,F,B35,S1,280,40,13.8,6,GX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-75000-4P-045,"75 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,75.0,400,50,1480,118.7,96.0,0.95,IP56,F,B5,S1,200,40,171.5,4,W22,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-55000-6P-046,"55 kW three-phase induction motor, 6-pole, 400 V, 50 Hz",Three-phase induction motor,55.0,400,50,965,88.92,96.0,0.93,IP55,F,B5,S1,112,40,122.6,6,BVM,starter_seed,Synthetic starter record for development/testing
ABB,AB-03000-2P-047,"3 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,3.0,400,50,2945,6.13,88.3,0.8,IP56,F,B5,S1,90,40,13.6,2,GX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-01100-2P-048,"1.1 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,1.1,400,50,2955,2.41,86.6,0.76,IP65,F,B5,S1,80,40,11.9,2,W22,starter_seed,Synthetic starter record for development/testing
WEG,WE-30000-4P-049,"30 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,30.0,415,50,1480,47.78,96.0,0.91,IP56,F,B3,S1,112,40,69.4,4,GX,starter_seed,Synthetic starter record for development/testing
ABB,AB-30000-4P-050,"30 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,30.0,415,50,1475,49.68,94.4,0.89,IP65,F,B35,S1,100,40,65.4,4,GX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-00750-2P-051,"0.75 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,0.75,380,50,2955,1.82,85.7,0.73,IP56,F,B5,S1,132,40,8.0,2,W22,starter_seed,Synthetic starter record for development/testing
WEG,WE-30000-4P-052,"30 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,30.0,400,50,1475,50.68,96.0,0.89,IP55,F,B5,S1,225,40,68.6,4,M2BAX,starter_seed,Synthetic starter record for development/testing
ABB,AB-00750-2P-053,"0.75 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,0.75,380,50,2945,1.84,84.7,0.73,IP55,F,B35,S1,200,40,18.7,2,GX,starter_seed,Synthetic starter record for development/testing
WEG,WE-22000-2P-054,"22 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,22.0,415,50,2960,35.82,96.0,0.89,IP55,F,B3,S1,100,40,57.5,2,W22,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-30000-4P-055,"30 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,30.0,380,50,1465,52.18,96.0,0.91,IP55,F,B35,S1,112,40,77.4,4,BVM,starter_seed,Synthetic starter record for development/testing
ABB,AB-01100-4P-056,"1.1 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,1.1,400,50,1480,2.54,85.6,0.73,IP55,F,B3,S1,280,40,17.9,4,GX,starter_seed,Synthetic starter record for development/testing
ABB,AB-37000-4P-057,"37 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,37.0,415,50,1475,61.44,95.2,0.88,IP55,F,B35,S1,225,40,92.6,4,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-45000-4P-058,"45 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,45.0,400,50,1480,75.18,96.0,0.9,IP55,F,B5,S1,90,40,100.4,4,GX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-30000-4P-059,"30 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,30.0,400,50,1460,51.85,96.0,0.87,IP55,F,B5,S1,112,40,70.4,4,BVM,starter_seed,Synthetic starter record for development/testing
WEG,WE-90000-2P-060,"90 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,90.0,380,50,2960,149.94,96.0,0.95,IP65,F,B3,S1,200,40,202.0,2,GX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-00750-2P-061,"0.75 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,0.75,380,50,2950,1.86,83.9,0.73,IP65,F,B5,S1,280,40,11.1,2,BVM,starter_seed,Synthetic starter record for development/testing
WEG,WE-37000-6P-062,"37 kW three-phase induction motor, 6-pole, 400 V, 50 Hz",Three-phase induction motor,37.0,400,50,980,61.81,96.0,0.9,IP55,F,B3,S1,132,40,81.6,6,1LE1,starter_seed,Synthetic starter record for development/testing
WEG,WE-02200-6P-063,"2.2 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,2.2,415,50,980,4.72,85.4,0.76,IP55,F,B35,S1,200,40,16.1,6,BVM,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-15000-2P-064,"15 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,15.0,400,50,2945,28.02,92.0,0.84,IP65,F,B3,S1,80,40,37.9,2,M2BAX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-15000-6P-065,"15 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,15.0,415,50,965,25.65,94.6,0.86,IP65,F,B5,S1,80,40,41.0,6,GX,starter_seed,Synthetic starter record for development/testing
WEG,WE-04000-2P-066,"4 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,4.0,400,50,2950,8.63,86.9,0.77,IP55,F,B35,S1,200,40,20.5,2,M2BAX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-03000-6P-067,"3 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,3.0,380,50,970,6.61,89.5,0.77,IP65,F,B35,S1,180,40,21.0,6,1LE1,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-30000-4P-068,"30 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,30.0,400,50,1475,49.03,96.0,0.92,IP65,F,B35,S1,132,40,66.0,4,M2BAX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-05500-4P-069,"5.5 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,5.5,380,50,1460,11.53,88.4,0.82,IP55,F,B5,S1,100,40,20.8,4,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-15000-2P-070,"15 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,15.0,400,50,2945,26.5,93.9,0.87,IP55,F,B35,S1,200,40,37.2,2,W22,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-05500-4P-071,"5.5 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,5.5,415,50,1460,10.96,88.4,0.79,IP55,F,B3,S1,132,40,14.5,4,W22,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-15000-4P-072,"15 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,15.0,400,50,1460,26.53,93.8,0.87,IP65,F,B35,S1,132,40,41.4,4,M2BAX,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-01100-4P-073,"1.1 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,1.1,415,50,1470,2.5,84.0,0.73,IP65,F,B35,S1,280,40,19.5,4,W22,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-01100-2P-074,"1.1 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,1.1,415,50,2955,2.29,85.6,0.78,IP65,F,B5,S1,100,40,14.5,2,GX,starter_seed,Synthetic starter record for development/testing
ABB,AB-55000-4P-075,"55 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,55.0,400,50,1475,91.88,96.0,0.9,IP55,F,B5,S1,100,40,128.6,4,W22,starter_seed,Synthetic starter record for development/testing
CG Power,CG-90000-2P-076,"90 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,90.0,380,50,2955,153.16,96.0,0.93,IP65,F,B3,S1,180,40,201.5,2,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-37000-2P-077,"37 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,37.0,415,50,2945,58.28,96.0,0.92,IP56,F,B3,S1,280,40,83.0,2,BVM,starter_seed,Synthetic starter record for development/testing
Siemens,SI-15000-4P-078,"15 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,15.0,380,50,1475,28.72,91.2,0.87,IP55,F,B5,S1,112,40,42.3,4,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-01500-2P-079,"1.5 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,1.5,400,50,2940,3.21,87.5,0.77,IP56,F,B35,S1,100,40,9.8,2,W22,starter_seed,Synthetic starter record for development/testing
CG Power,CG-55000-4P-080,"55 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,55.0,400,50,1465,90.87,96.0,0.91,IP65,F,B35,S1,250,40,131.6,4,M2BAX,starter_seed,Synthetic starter record for development/testing
WEG,WE-37000-4P-081,"37 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,37.0,400,50,1480,62.51,96.0,0.89,IP65,F,B35,S1,132,40,95.7,4,GX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-45000-6P-082,"45 kW three-phase induction motor, 6-pole, 400 V, 50 Hz",Three-phase induction motor,45.0,400,50,975,72.75,96.0,0.93,IP56,F,B5,S1,180,40,110.4,6,1LE1,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-30000-2P-083,"30 kW three-phase induction motor, 2-pole, 380 V, 50 Hz",Three-phase induction motor,30.0,380,50,2955,53.91,95.0,0.89,IP56,F,B35,S1,180,40,77.7,2,1LE1,starter_seed,Synthetic starter record for development/testing
CG Power,CG-01100-2P-084,"1.1 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,1.1,415,50,2960,2.49,84.3,0.73,IP55,F,B35,S1,200,40,18.9,2,M2BAX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-37000-6P-085,"37 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,37.0,380,50,965,62.97,96.0,0.93,IP65,F,B35,S1,160,40,86.1,6,M2BAX,starter_seed,Synthetic starter record for development/testing
WEG,WE-90000-4P-086,"90 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,90.0,415,50,1470,137.29,96.0,0.95,IP55,F,B35,S1,225,40,192.1,4,W22,starter_seed,Synthetic starter record for development/testing
Siemens,SI-01500-4P-087,"1.5 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,1.5,415,50,1460,3.26,86.5,0.74,IP55,F,B3,S1,100,40,8.0,4,M2BAX,starter_seed,Synthetic starter record for development/testing
WEG,WE-22000-4P-088,"22 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,22.0,380,50,1475,41.09,93.5,0.87,IP55,F,B3,S1,280,40,51.0,4,BVM,starter_seed,Synthetic starter record for development/testing
CG Power,CG-07500-4P-089,"7.5 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,7.5,380,50,1480,15.16,89.5,0.84,IP55,F,B35,S1,200,40,17.9,4,GX,starter_seed,Synthetic starter record for development/testing
WEG,WE-90000-2P-090,"90 kW three-phase induction motor, 2-pole, 400 V, 50 Hz",Three-phase induction motor,90.0,400,50,2940,142.44,96.0,0.95,IP56,F,B35,S1,132,40,195.0,2,W22,starter_seed,Synthetic starter record for development/testing
Siemens,SI-30000-4P-091,"30 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,30.0,380,50,1460,54.35,95.3,0.88,IP55,F,B3,S1,132,40,80.6,4,GX,starter_seed,Synthetic starter record for development/testing
WEG,WE-00750-6P-092,"0.75 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,0.75,415,50,960,1.59,85.2,0.77,IP55,F,B35,S1,132,40,16.4,6,1LE1,starter_seed,Synthetic starter record for development/testing
Siemens,SI-11000-6P-093,"11 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,11.0,415,50,965,19.94,90.3,0.85,IP55,F,B5,S1,80,40,25.6,6,W22,starter_seed,Synthetic starter record for development/testing
Siemens,SI-01500-4P-094,"1.5 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,1.5,415,50,1470,3.26,85.3,0.75,IP55,F,B35,S1,225,40,13.2,4,W22,starter_seed,Synthetic starter record for development/testing
Siemens,SI-11000-4P-095,"11 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,11.0,415,50,1470,19.05,93.4,0.86,IP55,F,B3,S1,200,40,37.2,4,1LE1,starter_seed,Synthetic starter record for development/testing
CG Power,CG-90000-4P-096,"90 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,90.0,400,50,1460,142.44,96.0,0.95,IP55,F,B35,S1,200,40,203.0,4,W22,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-30000-6P-097,"30 kW three-phase induction motor, 6-pole, 380 V, 50 Hz",Three-phase induction motor,30.0,380,50,970,53.35,96.0,0.89,IP65,F,B5,S1,250,40,79.6,6,1LE1,starter_seed,Synthetic starter record for development/testing
ABB,AB-45000-6P-098,"45 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,45.0,415,50,970,73.27,96.0,0.89,IP55,F,B5,S1,80,40,98.4,6,1LE1,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-03000-4P-099,"3 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,3.0,400,50,1475,6.14,88.2,0.8,IP56,F,B35,S1,225,40,20.2,4,1LE1,starter_seed,Synthetic starter record for development/testing
CG Power,CG-02200-4P-100,"2.2 kW three-phase induction motor, 4-pole, 400 V, 50 Hz",Three-phase induction motor,2.2,400,50,1480,4.73,88.4,0.76,IP55,F,B5,S1,160,40,13.7,4,1LE1,starter_seed,Synthetic starter record for development/testing
WEG,WE-02200-6P-101,"2.2 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,2.2,415,50,970,4.39,88.3,0.79,IP56,F,B5,S1,80,40,9.7,6,M2BAX,starter_seed,Synthetic starter record for development/testing
CG Power,CG-01500-6P-102,"1.5 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,1.5,415,50,965,3.06,86.2,0.79,IP55,F,B3,S1,80,40,21.0,6,BVM,starter_seed,Synthetic starter record for development/testing
Siemens,SI-01500-6P-103,"1.5 kW three-phase induction motor, 6-pole, 415 V, 50 Hz",Three-phase induction motor,1.5,415,50,965,3.13,84.5,0.79,IP55,F,B35,S1,160,40,8.0,6,1LE1,starter_seed,Synthetic starter record for development/testing
Siemens,SI-90000-4P-104,"90 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,90.0,380,50,1465,154.83,96.0,0.92,IP55,F,B3,S1,80,40,200.4,4,M2BAX,starter_seed,Synthetic starter record for development/testing
Siemens,SI-11000-2P-105,"11 kW three-phase induction motor, 2-pole, 415 V, 50 Hz",Three-phase induction motor,11.0,415,50,2945,20.37,91.6,0.82,IP56,F,B5,S1,90,40,37.5,2,BVM,starter_seed,Synthetic starter record for development/testing
Bharat Bijlee,BH-02200-4P-106,"2.2 kW three-phase induction motor, 4-pole, 380 V, 50 Hz",Three-phase induction motor,2.2,380,50,1480,5.04,88.4,0.75,IP65,F,B5,S1,280,40,13.9,4,M2BAX,starter_seed,Synthetic starter record for development/testing
ABB,AB-55000-4P-107,"55 kW three-phase induction motor, 4-pole, 415 V, 50 Hz",Three-phase induction motor,55.0,415,50,1475,85.71,96.0,0.93,IP55,F,B3,S1,200,40,122.7,4,1LE1,starter_seed,Synthetic starter record for development/testing
